id	character	keyword	frame	reviewed
rtk401	企	undertake	401	no
rtk402	歴	curriculum	402	no
rtk403	武	warrior	403	no
rtk404	賦	levy	404	yes
rtk405	正	correct	405	no
rtk406	証	evidence	406	no
rtk407	政	politics	407	yes
rtk408	定	determine	408	yes
rtk409	錠	lock	409	yes
rtk410	走	run	410	no
rtk411	超	transcend	411	no
rtk412	赴	proceed	412	no
rtk413	越	surpass	413	no
rtk414	是	just so	414	no
rtk415	題	topic	415	yes
rtk416	堤	dike	416	yes
rtk417	建	build	417	no
rtk418	鍵	key	418	no
rtk419	延	prolong	419	no
rtk420	誕	nativity	420	no
rtk421	礎	cornerstone	421	no
rtk422	婿	bridegroom	422	no
rtk423	衣	garment	423	yes
rtk424	裁	tailor	424	no
rtk425	装	attire	425	yes
rtk426	裏	back	426	yes
rtk427	壊	demolition	427	yes
rtk428	哀	pathetic	428	yes
rtk429	遠	distant	429	no
rtk430	猿	monkey	430	yes
rtk431	初	first time	431	no
rtk432	巾	towel	432	no
rtk433	布	linen	433	no
rtk434	帆	sail	434	yes
rtk435	幅	hanging scroll	435	no
rtk436	帽	cap	436	yes
rtk437	幕	curtain	437	no
rtk438	幌	canopy	438	no
rtk439	錦	brocade	439	no
rtk440	市	market	440	no
rtk441	柿	persimmon	441	no
rtk442	姉	elder sister	442	no
rtk443	肺	lungs	443	no
rtk444	帯	sash	444	no
rtk445	滞	stagnate	445	no
rtk446	刺	thorn	446	yes
rtk447	制	system	447	yes
rtk448	製	made in...	448	yes
rtk449	転	revolve	449	no
rtk450	芸	technique	450	no
rtk451	雨	rain	451	no
rtk452	雲	cloud	452	no
rtk453	曇	cloudy weather	453	no
rtk454	雷	thunder	454	no
rtk455	霜	frost	455	yes
rtk456	冬	winter	456	yes
rtk457	天	heavens	457	no
rtk458	妖	bewitched	458	no
rtk459	沃	irrigate	459	no
rtk460	橋	bridge	460	no
rtk461	嬌	attractive	461	no
rtk462	立	stand up	462	no
rtk463	泣	cry	463	no
rtk464	章	badge	464	yes
rtk465	競	vie	465	no
rtk466	帝	sovereign	466	yes
rtk467	諦	renunciation	467	yes
rtk468	童	juvenile	468	no
rtk469	瞳	pupil	469	yes
rtk470	鐘	bell	470	yes
rtk471	商	make a deal	471	yes
rtk472	嫡	legitimate wife	472	yes
rtk473	適	suitable	473	yes
rtk474	滴	drip	474	yes
rtk475	敵	enemy	475	yes
rtk476	匕	spoon	476	no
rtk477	叱	scold	477	no
rtk478	匂	aroma	478	no
rtk479	頃	about that time	479	yes
rtk480	北	north	480	no
rtk481	背	stature	481	yes
rtk482	比	compare	482	no
rtk483	昆	descendants	483	no
rtk484	皆	all	484	no
rtk485	楷	block letters	485	no
rtk486	諧	orderliness	486	yes
rtk487	混	mix	487	yes
rtk488	渇	thirst	488	no
rtk489	謁	audience	489	no
rtk490	褐	brown	490	no
rtk491	喝	hoarse	491	no
rtk492	葛	kudzu	492	no
rtk493	旨	delicious	493	no
